F Number: F270477
VERSION : SpotTool+            
$VERSION: V9.30126      2/12/2021
DATE:     11-AUG-21 11:01:08 

Spot Weld Process Summary File
HIST_IDX,PROGRAM,PROCESS_ID,TOUCHUP_TIME,Exec_time,Fault,Bookmark,Weld time ( ms),Time to force ( ms),Weld sched,SD index,P index,ED index,Inst type,Gun num,Retried,Weld noweld,FFR active,Thick before ( mm),Setdown ( mm),Tip wear ( mm),SD val ( mm),Thick val ( mm),Pressure cmd ( lbf),ED val ( mm),Contact pos ( mm),Pressure pos ( mm),Pressure trq ( trq),Pressure fdb ( lbf),Tip Open trq ( Kgf),Motor TEMP ( deg C),****,****,****,****,****,****,
  1,MANWELD,1, 10-JUL-21 03:50:38 , 27-JUL-21 23:49:34  ,None ,00-0-80 00:00:00  ,1240 ,  72 ,       249 ,  9 , 58 ,  9 ,1 ,1 ,0 ,1 ,0 ,2.58 ,.01 ,-.13 ,5.00 ,2.50 ,1400.00 ,5.00 ,-.67 ,.40 ,14.45 ,1405.48 ,78.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
  2,MANWELD,1, 10-JUL-21 03:50:38 , 28-JUL-21 01:29:16  ,None ,00-0-80 00:00:00  ,1240 ,  72 ,       254 ,  9 , 58 ,  9 ,1 ,1 ,0 ,1 ,0 ,1.41 ,-.01 ,1.71 ,5.00 ,2.50 ,1400.00 ,5.00 ,.59 ,1.55 ,14.30 ,1387.71 ,78.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
  3,MANWELD,1, 10-JUL-21 03:50:38 , 10-JUL-21 03:52:00  ,Weld sim Enabled,00-0-80 00:00:00  ,0504 ,  88 ,       250 , 81 , 51 , 81 ,1 ,1 ,0 ,0 ,0 ,13.00 ,0.00 ,0.00 ,0.00 ,12.80 ,360.00 ,0.00 ,-11.79 ,-11.83 ,3.24 ,344.09 ,63.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
  4,MANWELD,1, 10-JUL-21 03:50:38 , 10-JUL-21 03:52:06  ,Weld sim Enabled,00-0-80 00:00:00  ,0504 ,  64 ,       250 , 81 , 51 , 81 ,1 ,1 ,0 ,0 ,0 ,12.98 ,0.00 ,0.00 ,0.00 ,12.80 ,360.00 ,0.00 ,-11.77 ,-11.81 ,3.24 ,344.09 ,61.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
  5,MANWELD,1, 10-JUL-21 03:50:38 , 10-JUL-21 03:52:10  ,Weld sim Enabled,00-0-80 00:00:00  ,0504 ,  64 ,       250 , 81 , 51 , 81 ,1 ,1 ,0 ,0 ,0 ,12.98 ,0.00 ,0.00 ,0.00 ,12.80 ,360.00 ,0.00 ,-11.77 ,-11.82 ,3.24 ,344.09 ,60.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
  6,MANWELD,1, 10-JUL-21 03:50:38 , 10-JUL-21 03:52:20  ,Weld sim Enabled,00-0-80 00:00:00  ,0504 ,  64 ,       250 , 81 , 53 , 81 ,1 ,1 ,0 ,0 ,0 ,13.04 ,0.00 ,0.00 ,0.00 ,12.80 ,800.00 ,0.00 ,-11.57 ,-11.17 ,8.62 ,787.38 ,65.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
  7,MANWELD,1, 10-JUL-21 03:50:38 , 10-JUL-21 03:52:28  ,Weld sim Enabled,00-0-80 00:00:00  ,0504 ,  64 ,       250 , 81 , 53 , 81 ,1 ,1 ,0 ,0 ,0 ,13.04 ,0.00 ,0.00 ,0.00 ,12.80 ,800.00 ,0.00 ,-11.57 ,-11.17 ,8.61 ,785.80 ,58.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
  8,MANWELD,1, 10-JUL-21 03:50:38 , 10-JUL-21 03:55:36  ,Weld sim Enabled,00-0-80 00:00:00  ,0504 ,  56 ,       250 , 81 , 53 , 81 ,1 ,1 ,0 ,0 ,0 ,13.03 ,0.00 ,0.00 ,0.00 ,12.80 ,800.00 ,0.00 ,-11.57 ,-11.17 ,8.60 ,779.48 ,59.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
  9,MANWELD,1, 10-JUL-21 03:50:38 , 10-JUL-21 03:55:44  ,Weld sim Enabled,00-0-80 00:00:00  ,0504 ,  64 ,       250 , 81 , 53 , 81 ,1 ,1 ,0 ,0 ,0 ,13.15 ,0.00 ,0.00 ,0.00 ,12.80 ,800.00 ,0.00 ,-11.57 ,-11.19 ,9.09 ,853.64 ,56.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
 10,MANWELD,1, 10-JUL-21 03:50:38 , 10-JUL-21 03:55:48  ,Weld sim Enabled,00-0-80 00:00:00  ,0504 ,  56 ,       250 , 81 , 53 , 81 ,1 ,1 ,0 ,0 ,0 ,13.04 ,0.00 ,0.00 ,0.00 ,12.80 ,800.00 ,0.00 ,-11.57 ,-11.17 ,8.62 ,783.60 ,55.00 ,0.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
